Date,Air Temperature Average (degF),Precipitation Increment - Snow-adj (in),Change In Precipitation Increment - Snow-adj (in),Change In Soil Moisture Percent -8in (pct)
8/22/02,60,0,0,
8/23/02,58,0,0,
8/24/02,62,0.2,0.2,
8/25/02,66,0.1,-0.1,
8/26/02,63,0,-0.1,
8/27/02,59,0,0,
8/28/02,62,0,0,
8/29/02,66,0,0,
8/30/02,65,0,0,
8/31/02,66,0,0,
9/1/02,69,0,0,
9/2/02,71,0,0,
9/3/02,71,0,0,
9/4/02,65,0,0,
9/5/02,63,0,0,
9/6/02,51,0,0,
9/7/02,49,0,0,
9/8/02,52,0.1,0.1,
9/9/02,57,0,-0.1,
9/10/02,62,0,0,
9/11/02,64,0,0,
9/12/02,67,0,0,
9/13/02,70,0,0,
9/14/02,70,0,0,
9/15/02,67,0,0,
9/16/02,51,0.3,0.3,
9/17/02,48,0,-0.3,
9/18/02,51,0,0,
9/19/02,57,0,0,
9/20/02,62,0,0,
9/21/02,58,0,0,
9/22/02,63,0,0,
9/23/02,65,0,0,
9/24/02,65,0,0,
9/25/02,56,0,0,
9/26/02,57,0,0,
9/27/02,53,0,0,
9/28/02,49,0,0,
9/29/02,50,0,0,
9/30/02,40,0,0,
10/1/02,36,0.1,0.1,
10/2/02,40,0,-0.1,
10/3/02,43,0,0,
10/4/02,42,0,0,
10/5/02,49,0.1,0.1,
10/6/02,53,0,-0.1,
10/7/02,56,0,0,
10/8/02,54,0,0,
10/9/02,55,0,0,
10/10/02,53,0,0,
10/11/02,40,0,0,
10/12/02,43,0,0,
10/13/02,51,0,0,
10/14/02,53,0,0,
10/15/02,53,0,0,
10/16/02,54,0,0,
10/17/02,54,0,0,
10/18/02,53,0,0,
10/19/02,55,0,0,
10/20/02,51,0,0,
10/21/02,43,0,0,
10/22/02,40,0.3,0.3,
10/23/02,41,0,-0.3,
10/24/02,42,0,0,
10/25/02,44,0,0,
10/26/02,44,0,0,
10/27/02,42,0,0,
10/28/02,39,0,0,
10/29/02,31,0,0,
10/30/02,25,0,0,
10/31/02,19,0,0,
11/1/02,21,0,0,
11/2/02,27,0.1,0.1,
11/3/02,34,0,-0.1,
11/4/02,38,0,0,
11/5/02,41,0,0,
11/6/02,46,0,0,
11/7/02,44,0.1,0.1,
11/8/02,35,1.5,1.4,
11/9/02,33,0.3,-1.2,
11/10/02,31,0.6,0.3,
11/11/02,34,0,-0.6,
11/12/02,37,0,0,
11/13/02,38,0.1,0.1,
11/14/02,37,0,-0.1,
11/15/02,36,0,0,
11/16/02,41,0,0,
11/17/02,34,0.1,0.1,
11/18/02,32,0,-0.1,
11/19/02,42,0,0,
11/20/02,47,0,0,
11/21/02,48,0,0,
11/22/02,48,0,0,
11/23/02,44,0,0,
11/24/02,33,0,0,
11/25/02,32,0,0,
11/26/02,38,0,0,
11/27/02,38,0,0,
11/28/02,41,0,0,
11/29/02,41,0,0,
11/30/02,40,0,0,
12/1/02,34,0,0,
12/2/02,35,0,0,
12/3/02,35,0,0,
12/4/02,37,0,0,
12/5/02,36,0,0,
12/6/02,35,0,0,
12/7/02,33,0,0,
12/8/02,34,0,0,
12/9/02,35,0,0,
12/10/02,31,0.3,0.3,
12/11/02,31,0.1,-0.2,
12/12/02,36,0.1,0,
12/13/02,39,0.3,0.2,
12/14/02,42,0.1,-0.2,
12/15/02,33,0.1,0,
12/16/02,33,0.4,0.3,
12/17/02,26,0.4,0,
12/18/02,22,0,-0.4,
12/19/02,22,0,0,
12/20/02,27,0.2,0.2,
12/21/02,26,1,0.8,
12/22/02,24,0,-1,
12/23/02,20,0,0,
12/24/02,18,0.1,0.1,
12/25/02,21,0.1,0,
12/26/02,27,0.4,0.3,
12/27/02,42,0.1,-0.3,
12/28/02,39,0,-0.1,
12/29/02,27,0.3,0.3,
12/30/02,28,0.8,0.5,
12/31/02,29,0.5,-0.3,
1/1/03,27,0,-0.5,
1/2/03,35,0,0,
1/3/03,43,0,0,
1/4/03,44,0,0,
1/5/03,34,0,0,
1/6/03,36,0,0,
1/7/03,41,0.1,0.1,
1/8/03,41,0,-0.1,
1/9/03,33,0.1,0.1,
1/10/03,31,0.4,0.3,
1/11/03,34,0.2,-0.2,
1/12/03,36,0.1,-0.1,
1/13/03,40,0,-0.1,
1/14/03,37,0,0,
1/15/03,29,0,0,
1/16/03,36,0,0,
1/17/03,40,0,0,
1/18/03,40,0.1,0.1,
1/19/03,41,0,-0.1,
1/20/03,40,0,0,
1/21/03,36,0,0,
1/22/03,37,0,0,
1/23/03,39,0.1,0.1,
1/24/03,36,0.1,0,
1/25/03,38,0.1,0,
1/26/03,41,0,-0.1,
1/27/03,41,0.3,0.3,
1/28/03,31,0,-0.3,
1/29/03,36,0,0,
1/30/03,43,0,0,
1/31/03,49,0.1,0.1,
2/1/03,38,0.1,0,
2/2/03,27,0,-0.1,
2/3/03,25,0,0,
2/4/03,21,0,0,
2/5/03,20,0,0,
2/6/03,19,0,0,
2/7/03,20,0,0,
2/8/03,24,0,0,
2/9/03,29,0,0,
2/10/03,33,0,0,
2/11/03,35,0,0,
2/12/03,40,0.1,0.1,
2/13/03,36,0.2,0.1,
2/14/03,36,0,-0.2,
2/15/03,37,0,0,
2/16/03,33,0.3,0.3,
2/17/03,30,0,-0.3,
2/18/03,29,0,0,
2/19/03,27,0,0,
2/20/03,31,0.1,0.1,
2/21/03,36,0,-0.1,
2/22/03,31,0,0,
2/23/03,28,0,0,
2/24/03,22,0.2,0.2,
2/25/03,22,0,-0.2,
2/26/03,26,0,0,
2/27/03,28,0,0,
2/28/03,24,0,0,
3/1/03,24,0.2,0.2,
3/2/03,29,0,-0.2,
3/3/03,29,0.4,0.4,
3/4/03,26,0.1,-0.3,
3/5/03,34,0,-0.1,
3/6/03,35,0,0,
3/7/03,38,0,0,
3/8/03,40,0,0,
3/9/03,41,0,0,
3/10/03,42,0,0,
3/11/03,43,0,0,
3/12/03,47,0,0,
3/13/03,51,0,0,
3/14/03,44,0,0,
3/15/03,38,0.5,0.5,
3/16/03,33,0,-0.5,
3/17/03,32,0,0,
3/18/03,33,0,0,
3/19/03,38,0,0,
3/20/03,36,0.1,0.1,
3/21/03,40,0,-0.1,
3/22/03,44,0.1,0.1,
3/23/03,35,0.2,0.1,
3/24/03,35,0,-0.2,
3/25/03,41,1.1,1.1,
3/26/03,33,1.4,0.3,
3/27/03,28,0,-1.4,
3/28/03,30,0,0,
3/29/03,40,0,0,
3/30/03,50,0,0,
3/31/03,53,0,0,
4/1/03,39,0.3,0.3,
4/2/03,27,0.4,0.1,
4/3/03,24,0.4,0,
4/4/03,25,0.2,-0.2,
4/5/03,27,0.2,0,
4/6/03,27,0.6,0.4,
4/7/03,34,0,-0.6,
4/8/03,48,0,0,
4/9/03,51,0,0,
4/10/03,53,0,0,
4/11/03,49,0,0,
4/12/03,45,0,0,
4/13/03,34,0.5,0.5,
4/14/03,31,0,-0.5,
4/15/03,35,0,0,
4/16/03,35,0,0,
4/17/03,33,0.2,0.2,
4/18/03,29,0.2,0,
4/19/03,36,0,-0.2,
4/20/03,45,0,0,
4/21/03,39,0.2,0.2,
4/22/03,38,0.1,-0.1,
4/23/03,44,0,-0.1,
4/24/03,41,0.1,0.1,
4/25/03,32,0.5,0.4,
4/26/03,32,0,-0.5,
4/27/03,36,0.1,0.1,
4/28/03,38,0,-0.1,
4/29/03,36,0,0,
4/30/03,34,0,0,
5/1/03,41,0,0,
5/2/03,43,0.1,0.1,
5/3/03,40,0.3,0.2,
5/4/03,35,1,0.7,
5/5/03,36,0,-1,
5/6/03,40,0,0,
5/7/03,38,0.2,0.2,
5/8/03,33,0.4,0.2,
5/9/03,34,0.2,-0.2,
5/10/03,37,0.1,-0.1,
5/11/03,42,0,-0.1,
5/12/03,48,0,0,
5/13/03,53,0.1,0.1,
5/14/03,59,0,-0.1,
5/15/03,55,0,0,
5/16/03,49,0,0,
5/17/03,43,0,0,
5/18/03,35,0,0,
5/19/03,41,0,0,
5/20/03,53,0,0,
5/21/03,61,0,0,
5/22/03,66,0,0,
5/23/03,71,0,0,
5/24/03,69,0,0,
5/25/03,62,0,0,
5/26/03,60,0,0,
5/27/03,69,0,0,
5/28/03,76,0,0,
5/29/03,74,0,0,
5/30/03,61,0.2,0.2,
5/31/03,62,0,-0.2,
6/1/03,63,0,0,
6/2/03,63,0,0,
6/3/03,62,0,0,
6/4/03,61,0,0,
6/5/03,62,0,0,
6/6/03,67,0,0,
6/7/03,66,0,0,
6/8/03,68,0,0,
6/9/03,67,0,0,
6/10/03,65,0,0,
6/11/03,63,0,0,
6/12/03,65,0,0,
6/13/03,62,0,0,
6/14/03,65,0,0,
6/15/03,68,0,0,
6/16/03,69,0,0,
6/17/03,72,0,0,
6/18/03,68,0.1,0.1,
6/19/03,60,0,-0.1,
6/20/03,54,0,0,
6/21/03,51,0,0,
6/22/03,49,0,0,
6/23/03,48,0,0,
6/24/03,52,0.1,0.1,
6/25/03,59,0,-0.1,-0.3
6/26/03,65,0,0,0.1
6/27/03,70,0,0,-0.1
6/28/03,71,0,0,-0.2
6/29/03,74,0,0,0.1
6/30/03,68,0,0,-0.1
7/1/03,66,0,0,-0.1
7/2/03,65,0,0,-0.1
7/3/03,66,0,0,-0.1
7/4/03,69,0,0,-0.2
7/5/03,72,0,0,-0.1
7/6/03,71,0,0,0.2
7/7/03,71,0,0,-0.3
7/8/03,65,0,0,0
7/9/03,73,0,0,-0.1
7/10/03,76,0,0,0
7/11/03,76,0,0,-0.1
7/12/03,75,0,0,0
7/13/03,71,0,0,0.1
7/14/03,73,0,0,-0.1
7/15/03,75,0,0,-0.2
7/16/03,77,0,0,-0.1
7/17/03,79,0,0,0.1
7/18/03,81,0,0,-0.2
7/19/03,81,0,0,0
7/20/03,79,0,0,0
7/21/03,81,0,0,-0.2
7/22/03,83,0,0,0
7/23/03,82,0,0,0.1
7/24/03,71,0,0,-0.2
7/25/03,64,0,0,-0.3
7/26/03,67,0.1,0.1,-0.4
7/27/03,73,0,-0.1,0
7/28/03,76,0,0,-0.1
7/29/03,79,0,0,0
7/30/03,81,0,0,-0.2
7/31/03,82,0,0,-0.1
8/1/03,72,0.2,0.2,-0.1
8/2/03,60,0.2,0,-0.2
8/3/03,58,0,-0.2,-0.6
8/4/03,65,0,0,-0.3
8/5/03,67,0,0,0.1
8/6/03,67,0,0,0.1
8/7/03,66,0,0,-0.4
8/8/03,69,0,0,-0.1
8/9/03,71,0,0,-0.2
8/10/03,73,0,0,0
8/11/03,73,0,0,-0.2
8/12/03,71,0,0,0
8/13/03,73,0,0,-0.3
8/14/03,76,0,0,0
8/15/03,76,0,0,-0.1
8/16/03,71,0,0,0
8/17/03,68,0,0,-0.2
8/18/03,72,0,0,0
8/19/03,82,0,0,-0.2
8/20/03,80,0,0,-0.1
8/21/03,68,0,0,0
8/22/03,58,0.1,0.1,-0.1
8/23/03,63,0,-0.1,-0.3
8/24/03,70,0.1,0.1,-0.1
8/25/03,73,0,-0.1,0
8/26/03,60,0.1,0.1,0
8/27/03,62,0.1,0,-0.3
8/28/03,69,0,-0.1,0.1
8/29/03,64,0,0,-0.1
8/30/03,66,0,0,0
8/31/03,69,0,0,0.1
9/1/03,65,0,0,-0.1
9/2/03,68,0,0,0
9/3/03,72,0,0,0
9/4/03,68,0,0,0.1
9/5/03,67,0,0,-0.3
9/6/03,67,0,0,0.2
9/7/03,63,0,0,-0.1
9/8/03,50,0,0,-0.2
9/9/03,42,0.5,0.5,0.1
9/10/03,48,0,-0.5,-0.5
9/11/03,57,0,0,0
9/12/03,55,0,0,0
9/13/03,50,0.1,0.1,0.1
9/14/03,59,0,-0.1,-0.2
9/15/03,61,0,0,0.3
9/16/03,53,0,0,0
9/17/03,42,0,0,-0.1
9/18/03,49,0,0,0.1
9/19/03,58,0,0,-0.2
9/20/03,61,0,0,0.1
9/21/03,61,0,0,-0.1
9/22/03,64,0,0,0.2
9/23/03,67,0,0,-0.1
9/24/03,69,0,0,0.1
9/25/03,70,0,0,-0.1
9/26/03,69,0,0,0.2
9/27/03,68,0,0,0.1
9/28/03,69,0,0,0
9/29/03,67,0,0,0
9/30/03,65,0,0,0
10/1/03,63,0.2,0.2,0.1
10/2/03,58,0,-0.2,-0.3
10/3/03,57,0,0,-0.1
10/4/03,60,0,0,0.1
10/5/03,62,0,0,-0.2
10/6/03,62,0,0,0.4
10/7/03,58,0,0,-0.3
10/8/03,61,0,0,0.3
10/9/03,54,0,0,-0.2
10/10/03,39,0,0,0.1
10/11/03,47,0,0,-0.5
10/12/03,49,0,0,0.1
10/13/03,41,0,0,0
10/14/03,48,0,0,-0.3
10/15/03,48,0,0,0.1
10/16/03,54,0,0,0
10/17/03,60,0,0,0
10/18/03,62,0,0,0.2
10/19/03,60,0,0,0
10/20/03,60,0,0,0.1
10/21/03,65,0,0,-0.1
10/22/03,63,0,0,0
10/23/03,51,0,0,0.1
10/24/03,45,0,0,-0.2
10/25/03,47,0,0,-0.1
10/26/03,53,0,0,-0.1
10/27/03,58,0,0,0.1
10/28/03,58,0,0,-0.1
10/29/03,42,0,0,0.3
10/30/03,26,0.1,0.1,-0.3
10/31/03,24,0.1,0,-0.2
11/1/03,24,0,-0.1,-0.2
11/2/03,25,0.1,0.1,-0.1
11/3/03,26,0.2,0.1,-0.1
11/4/03,24,0,-0.2,0.1
11/5/03,24,0,0,0
11/6/03,30,0,0,-0.2
11/7/03,32,0.1,0.1,0.1
11/8/03,35,0.1,0,0.1
11/9/03,34,0,-0.1,-0.3
11/10/03,33,0,0,0.2
11/11/03,36,0,0,0
11/12/03,36,0,0,0
11/13/03,33,0,0,0
11/14/03,33,0,0,0
11/15/03,31,0.5,0.5,-0.2
11/16/03,31,0.4,-0.1,0.3
11/17/03,34,0.2,-0.2,0
11/18/03,40,0,-0.2,0
11/19/03,47,0,0,0
11/20/03,33,0.1,0.1,-0.2
11/21/03,22,0.2,0.1,0.1
11/22/03,17,0,-0.2,3.9
11/23/03,19,0,0,1.3
11/24/03,28,0.1,0.1,0
11/25/03,24,0.3,0.2,-0.3
11/26/03,24,0.1,-0.2,-0.1
11/27/03,25,0.1,0,-0.1
11/28/03,35,0.2,0.1,-0.4
11/29/03,38,0.9,0.7,-0.2
11/30/03,36,0.1,-0.8,8.4
12/1/03,39,0,-0.1,0.3
12/2/03,36,0,0,-0.1
12/3/03,38,0,0,-0.3
12/4/03,38,0,0,0.3
12/5/03,43,0,0,-0.5
12/6/03,41,1.1,1.1,1.7
12/7/03,31,0.6,-0.5,4.9
12/8/03,24,0,-0.6,-3.9
12/9/03,25,0,0,-1.5
12/10/03,27,0.5,0.5,-0.8
12/11/03,27,0,-0.5,-0.4
12/12/03,28,0.8,0.8,-0.3
12/13/03,35,0.4,-0.4,-0.1
12/14/03,28,0.4,0,0.6
12/15/03,20,0,-0.4,0
12/16/03,24,0,0,-0.1
12/17/03,35,0,0,-0.2
12/18/03,37,0,0,-0.2
12/19/03,40,0.1,0.1,-0.1
12/20/03,35,0.1,0,-0.1
12/21/03,32,0,-0.1,1.2
12/22/03,29,0,0,-0.2
12/23/03,32,0,0,-0.3
12/24/03,31,0.5,0.5,-0.2
12/25/03,26,0.3,-0.2,-0.1
12/26/03,18,0,-0.3,0
12/27/03,18,0,0,-0.2
12/28/03,21,0.2,0.2,0.1
12/29/03,27,1.9,1.7,0
12/30/03,27,1.6,-0.3,-0.2
12/31/03,27,0.5,-1.1,0.2
1/1/04,27,0.9,0.4,-0.2
1/2/04,19,0.3,-0.6,0.1
1/3/04,15,0.3,0,0.1
1/4/04,14,0.3,0,0.1
1/5/04,16,0.3,0,0
1/6/04,21,0.1,-0.2,0.1
1/7/04,26,0.5,0.4,0
1/8/04,34,0,-0.5,0
1/9/04,35,0,0,-0.2
1/10/04,39,0,0,0.2
1/11/04,38,0,0,0
1/12/04,39,0,0,0
1/13/04,38,0,0,-0.2
1/14/04,39,0,0,0.1
1/15/04,33,0,0,-0.1
1/16/04,29,0,0,0
1/17/04,28,0,0,0.2
1/18/04,29,0,0,0
1/19/04,30,0,0,-0.1
1/20/04,28,0.1,0.1,0
1/21/04,27,0,-0.1,-0.1
1/22/04,27,0,0,0
1/23/04,30,0,0,-0.1
1/24/04,28,0.2,0.2,0
1/25/04,19,0,-0.2,0
1/26/04,22,0,0,
1/27/04,27,1,1,
1/28/04,29,0.5,-0.5,0
1/29/04,34,0.1,-0.4,0
1/30/04,30,0.7,0.6,0.1
1/31/04,21,0.1,-0.6,-0.1
2/1/04,25,0.1,0,0
2/2/04,27,0.5,0.4,-0.1
2/3/04,27,0.3,-0.2,0.2
2/4/04,27,0.2,-0.1,0
2/5/04,23,0,-0.2,0.1
2/6/04,25,0.5,0.5,-0.1
2/7/04,25,0.9,0.4,0.1
2/8/04,21,0.1,-0.8,-0.1
2/9/04,20,0.1,0,0
2/10/04,21,0,-0.1,0
2/11/04,25,0,0,0.1
2/12/04,26,0,0,0
2/13/04,32,0,0,0.1
2/14/04,30,0,0,-0.1
2/15/04,29,0.2,0.2,0
2/16/04,35,0.5,0.3,0
2/17/04,46,0.1,-0.4,-0.1
2/18/04,35,0.4,0.3,0.1
2/19/04,29,0.2,-0.2,0.1
2/20/04,29,0.1,-0.1,-0.1
2/21/04,30,0,-0.1,0.1
2/22/04,33,0,0,0.2
2/23/04,35,0,0,-0.1
2/24/04,31,0.1,0.1,0
2/25/04,32,0.7,0.6,0.2
2/26/04,30,0,-0.7,0
2/27/04,29,0.5,0.5,0
2/28/04,28,0,-0.5,0.1
2/29/04,28,0,0,0.1
3/1/04,28,0.1,0.1,0
3/2/04,30,0,-0.1,0
3/3/04,28,0.3,0.3,0
3/4/04,28,1.8,1.5,0
3/5/04,31,0.2,-1.6,0
3/6/04,36,0,-0.2,0
3/7/04,43,0.1,0.1,0
3/8/04,49,0.1,0,0
3/9/04,47,0,-0.1,-0.1
3/10/04,40,0,0,0
3/11/04,44,0,0,0
3/12/04,47,0.1,0.1,0.2
3/13/04,48,0,-0.1,0.8
3/14/04,46,0,0,1.1
3/15/04,46,0.1,0.1,0.5
3/16/04,47,0,-0.1,0.2
3/17/04,50,0,0,0.3
3/18/04,53,0,0,0.1
3/19/04,51,0,0,1.2
3/20/04,55,0,0,-0.8
3/21/04,59,0,0,0
3/22/04,56,0,0,0.3
3/23/04,53,0,0,0.3
3/24/04,47,0,0,0
3/25/04,42,0,0,-0.1
3/26/04,32,0,0,0.3
3/27/04,36,0.4,0.4,-0.5
3/28/04,41,0,-0.4,-1.4
3/29/04,50,0,0,1.1
3/30/04,53,0,0,0.6
3/31/04,45,0,0,0.4
4/1/04,31,0.1,0.1,0.1
4/2/04,43,0,-0.1,-0.6
4/3/04,51,0,0,0.3
4/4/04,53,0,0,0
4/5/04,51,0,0,-0.2
4/6/04,46,0,0,-0.3
4/7/04,50,0,0,-0.4
4/8/04,49,0,0,-0.7
4/9/04,45,0,0,-0.8
4/10/04,43,0.1,0.1,-0.7
4/11/04,49,0,-0.1,-0.3
4/12/04,55,0,0,-0.2
4/13/04,48,0,0,-0.3
4/14/04,39,0,0,-0.2
4/15/04,38,0,0,-0.3
4/16/04,39,0,0,-0.2
4/17/04,37,0,0,-0.3
4/18/04,35,0.2,0.2,-0.1
4/19/04,35,0.2,0,0.5
4/20/04,36,0.8,0.6,0.6
4/21/04,32,0.7,-0.1,0.4
4/22/04,38,0,-0.7,0.7
4/23/04,46,0,0,2.6
4/24/04,46,0,0,0.1
4/25/04,50,0,0,-1.7
4/26/04,58,0,0,-0.8
4/27/04,60,0,0,-0.5
4/28/04,39,0,0,-0.5
4/29/04,39,0,0,-0.7
4/30/04,51,0,0,-0.4
5/1/04,59,0,0,-0.1
5/2/04,63,0,0,-0.2
5/3/04,66,0,0,-0.2
5/4/04,64,0,0,-0.2
5/5/04,60,0,0,-0.3
5/6/04,59,0,0,-0.3
5/7/04,57,0,0,-0.3
5/8/04,53,0,0,-0.3
5/9/04,52,0,0,-0.4
5/10/04,36,0.8,0.8,-0.1
5/11/04,35,0.1,-0.7,-0.6
5/12/04,39,0,-0.1,4.8
5/13/04,45,0,0,0.9
5/14/04,52,0,0,-0.7
5/15/04,50,0,0,-0.7
5/16/04,48,0,0,-0.5
5/17/04,52,0.1,0.1,-0.3
5/18/04,44,0,-0.1,-0.4
5/19/04,45,0,0,-0.6
5/20/04,48,0,0,-0.4
5/21/04,46,0,0,-0.1
5/22/04,45,0.2,0.2,-0.3
5/23/04,41,0.1,-0.1,0.2
5/24/04,44,0,-0.1,0.8
5/25/04,47,0.1,0.1,-0.4
5/26/04,52,0.2,0.1,-0.1
5/27/04,52,0.1,-0.1,-0.1
5/28/04,42,1,0.9,1.1
5/29/04,41,0,-1,5
5/30/04,49,0,0,-2.2
5/31/04,56,0,0,-1
6/1/04,60,0,0,-0.7
6/2/04,65,0,0,-0.6
6/3/04,67,0,0,-0.6
6/4/04,67,0,0,-0.4
6/5/04,67,0,0,-0.5
6/6/04,60,0,0,-0.6
6/7/04,52,0,0,-0.4
6/8/04,47,0,0,-0.5
6/9/04,41,0.4,0.4,-0.5
6/10/04,45,0.5,0.1,-0.5
6/11/04,51,0,-0.5,4.9
6/12/04,57,0,0,-0.7
6/13/04,61,0,0,-0.6
6/14/04,62,0,0,-0.6
6/15/04,57,0,0,-0.8
6/16/04,56,0,0,-0.6
6/17/04,58,0,0,-0.2
6/18/04,63,0,0,-0.3
6/19/04,63,0,0,-0.4
6/20/04,61,0,0,-0.1
6/21/04,62,0,0,-0.5
6/22/04,68,0,0,-0.2
6/23/04,71,0,0,-0.2
6/24/04,69,0,0,-0.4
6/25/04,68,0,0,-0.2
6/26/04,68,0.2,0.2,-0.3
6/27/04,63,0.1,-0.1,-0.2
6/28/04,65,0.2,0.1,-0.3
6/29/04,65,0,-0.2,-0.2
6/30/04,65,0,0,-0.2
7/1/04,64,0,0,-0.2
7/2/04,64,0,0,-0.2
7/3/04,65,0,0,-0.1
7/4/04,67,0,0,-0.1
7/5/04,66,0,0,-0.2
7/6/04,71,0,0,0
7/7/04,67,0,0,-0.1
7/8/04,64,0,0,-0.1
7/9/04,66,0,0,-0.3
7/10/04,65,0,0,-0.2
7/11/04,66,0,0,0
7/12/04,71,0,0,-0.2
7/13/04,73,0.1,0.1,-0.1
7/14/04,75,0,-0.1,-0.1
7/15/04,75,0,0,-0.1
7/16/04,76,0,0,-0.1
7/17/04,73,0,0,-0.1
7/18/04,65,0.2,0.2,-0.1
7/19/04,67,0.4,0.2,-0.4
7/20/04,68,0,-0.4,0
7/21/04,73,0,0,0.2
7/22/04,73,0,0,0
7/23/04,74,0,0,0.2
7/24/04,74,0,0,0
7/25/04,72,0,0,-0.4
7/26/04,72,0.2,0.2,-0.1
7/27/04,74,0,-0.2,0.2
7/28/04,74,0,0,-0.1
7/29/04,74,0,0,-0.2
7/30/04,72,0,0,0.1
7/31/04,74,0,0,-0.2
8/1/04,71,0,0,-0.1
8/2/04,70,0,0,-0.1
8/3/04,65,0,0,-0.3
8/4/04,69,0,0,0
8/5/04,66,0,0,-0.2
8/6/04,64,0,0,0
8/7/04,64,0,0,-0.3
8/8/04,68,0,0,0
8/9/04,75,0,0,0
8/10/04,77,0,0,0
8/11/04,75,0,0,-0.1
8/12/04,77,0,0,0.1
8/13/04,75,0,0,0
8/14/04,72,0,0,-0.3
8/15/04,65,0,0,0.1
8/16/04,61,0.2,0.2,-0.3
8/17/04,,0.1,-0.1,0
8/18/04,,0,-0.1,-0.2
8/19/04,,0,0,
8/20/04,,0.3,0.3,
8/21/04,,0,-0.3,
8/22/04,,0.3,0.3,
8/23/04,,0.1,-0.2,
8/24/04,,0,-0.1,
8/25/04,,0.1,0.1,
8/26/04,,0.1,0,
8/27/04,,0,-0.1,
8/28/04,,0,0,
8/29/04,,0,0,
8/30/04,,0,0,
8/31/04,,0,0,
9/1/04,,0,0,
9/2/04,,0,0,
9/3/04,,0,0,
9/4/04,,0,0,
9/5/04,,0,0,
9/6/04,,0,0,
9/7/04,,0,0,
9/8/04,,0,0,
9/9/04,,0,0,
9/10/04,,0,0,
9/11/04,,0,0,
9/12/04,,0,0,
9/13/04,,0,0,
9/14/04,,0,0,
9/15/04,,0,0,
9/16/04,,0,0,
9/17/04,,0,0,
9/18/04,,0.1,0.1,
9/19/04,,0.2,0.1,
9/20/04,,0.1,-0.1,
9/21/04,44,0,-0.1,
9/22/04,51,0,0,0
9/23/04,57,0,0,0.3
9/24/04,61,0,0,-0.1
9/25/04,63,0,0,0
9/26/04,63,0,0,0.2
9/27/04,62,0,0,-0.1
9/28/04,62,0.1,0.1,0.1
9/29/04,56,0,-0.1,0.1
9/30/04,54,0,0,0
10/1/04,57,0,0,-0.3
10/2/04,59,0,0,0.2
10/3/04,57,0,0,-0.1
10/4/04,57,0,0,-0.2
10/5/04,58,0,0,0.2
10/6/04,59,0,0,0.2
10/7/04,58,0,0,-0.4
10/8/04,61,0,0,0.3
10/9/04,49,0,0,-0.1
10/10/04,43,0,0,-0.1
10/11/04,49,0,0,0.4
10/12/04,55,0,0,-0.6
10/13/04,55,0,0,0.2
10/14/04,59,0,0,0.3
10/15/04,60,0,0,-0.1
10/16/04,58,0,0,0
10/17/04,45,0.8,0.8,-0.2
10/18/04,35,0,-0.8,0
10/19/04,35,0.8,0.8,3.3
10/20/04,38,0.2,-0.6,2.1
10/21/04,39,0,-0.2,7.1
10/22/04,40,0.1,0.1,-0.4
10/23/04,37,1.1,1,0.3
10/24/04,34,0,-1.1,0.6
10/25/04,35,0,0,1
10/26/04,36,0.6,0.6,-1.9
10/27/04,34,0.8,0.2,2
10/28/04,33,0,-0.8,0.1
10/29/04,35,0,0,-0.4
10/30/04,35,0.1,0.1,-0.6
10/31/04,31,0,-0.1,0.1
11/1/04,31,0,0,-1
11/2/04,38,0.2,0.2,0
11/3/04,38,0.5,0.3,-0.4
11/4/04,43,0,-0.5,1.2
11/5/04,47,0.1,0.1,0.4
11/6/04,49,0.1,0,0.5
11/7/04,54,0,-0.1,0.3
11/8/04,47,0,0,-0.3
11/9/04,42,0,0,1
11/10/04,42,0.3,0.3,-1.1
11/11/04,36,0.3,0,0.3
11/12/04,39,0.1,-0.2,0.8
11/13/04,37,0,-0.1,-0.7
11/14/04,33,0,0,-1.4
11/15/04,38,0,0,-0.1
11/16/04,42,0,0,-0.8
11/17/04,41,0,0,-0.3
11/18/04,41,0,0,0.2
11/19/04,31,0,0,-0.8
11/20/04,25,0.1,0.1,-0.3
11/21/04,29,0,-0.1,-1
11/22/04,33,0.1,0.1,-0.4
11/23/04,34,0,-0.1,-1
11/24/04,36,0.1,0.1,-0.2
11/25/04,36,0.3,0.2,-0.2
11/26/04,32,0.1,-0.2,-0.2
11/27/04,27,0.4,0.3,-0.1
11/28/04,21,0.1,-0.3,0.4
11/29/04,17,0,-0.1,0.5
11/30/04,20,0.2,0.2,-0.2
12/1/04,27,0,-0.2,-0.2
12/2/04,28,0,0,-0.1
12/3/04,29,0,0,-0.3
12/4/04,27,0,0,0.6
12/5/04,27,0,0,-0.3
12/6/04,26,0.2,0.2,-0.3
12/7/04,35,0.4,0.2,-0.2
12/8/04,38,0.4,0,-0.3
12/9/04,42,0.3,-0.1,1.5
12/10/04,43,0.1,-0.2,5.8
12/11/04,45,0,-0.1,-0.2
12/12/04,49,0,0,-0.8
12/13/04,44,0,0,0.5
12/14/04,42,0,0,-0.3
12/15/04,35,0,0,0.5
12/16/04,34,0,0,-0.6
12/17/04,35,0,0,-0.6
12/18/04,40,0,0,-0.9
12/19/04,41,0,0,-0.9
12/20/04,33,0,0,-0.3
12/21/04,28,0,0,0.1
12/22/04,27,0,0,-0.5
12/23/04,27,0,0,-1
12/24/04,29,0,0,-0.6
12/25/04,35,0.3,0.3,-1.1
